Iso Code	Language Name	IETF Code	Script
xua	Kurumba, Alu	xua	Latin
kru	Kurux	kru	Latin
kus	Kusaal	kus	Latin
kub	Kutep	kub	Latin
kdc	Kutu	kdc	Latin
kxv	Kuvi	kxv	Latin
blh	Kuwaa	blh	Latin
cwt	Kuwaataay	cwt	Latin
kwd	Kwaio	kwd	Latin
tnk	Kwamera	tnk	Latin
kwf	Kwara’ae	kwf	Latin
cwe	Kwere	cwe	Latin
kyc	Kyaka	kyc	Latin
tye	Kyanga	tye	Latin
kir	Kyrgyz	ky	Latin
quc-dialect_north	K’iche’	quc	Latin
quc-dialect_east	K’iche’	quc	Latin
quc-dialect_central	K’iche’	quc	Latin
lac	Lacandon	lac	Latin
lsi	Lacid	lsi	Latin
lbj	Ladakhi	lbj	Latin
lhu	Lahu	lhu	Latin
las	Lama	las	Latin
lam	Lamba	lam	Latin
lns	Lamnso’	lns	Latin
ljp	Lampung Api	ljp	Latin
laj	Lango	laj	Latin
lao	Lao	lo	Latin
lat	Latin	la	Latin
lav	Latvian	lv	Latin
law	Lauje	law	Latin
lcp	Lawa, Western	lcp	Latin
lzz	Laz	lzz	Latin
lln	Lele	lln	Latin
lef	Lelemi	lef	Latin
acf	Lesser Antillean French Creole	acf	Latin
lww	Lewo	lww	Latin
mhx	Lhao Vo	mhx	Latin
eip	Lik	eip	Latin
lia	Limba, West-Central	lia	Latin
lif	Limbu	lif	Latin
onb	Lingao	onb	Latin
lis	Lisu	lis	Latin
loq	Lobala	loq	Latin
lob	Lobi	lob	Latin
yaz	Lokaa	yaz	Latin
lok	Loko	lok	Latin
llg	Lole	llg	Latin
ycl	Lolopo	ycl	Latin
lom	Loma	lom	Latin
ngl	Lomwe	ngl	Latin
lon	Lomwe, Malawi	lon	Latin
lex	Luang	lex	Latin
lgg	Lugbara	lgg	Latin
ruf	Luguru	ruf	Latin
dop	Lukpa	dop	Latin
lnd	Lundayeh	lnd	Latin
ndy	Lutos	ndy	Latin
lwo	Luwo	lwo	Latin
lee	Lyélé	lee	Latin
mev	Maan	mev	Latin
mfz	Mabaan	mfz	Latin
jmc	Machame	jmc	Latin
myy	Macuna	myy	Latin
mbc	Macushi	mbc	Latin
mda	Mada	mda	Latin
mad	Madura	mad	Latin
mag	Magahi	mag	Latin
ayz	Mai Brat	ayz	Latin
mai	Maithili	mai	Latin
mca	Maka	mca	Latin
mcp	Makaa	mcp	Latin
mak	Makasar	mak	Latin
vmw	Makhuwa	vmw	Latin
mgh	Makhuwa-Meetto	mgh	Latin
kde	Makonde	kde	Latin
mlg	Malagasy	mg	Latin
zlm	Malay	zlm	Latin
pse	Malay, Central	pse	Latin
mkn	Malay, Kupang	mkn	Latin
xmm	Malay, Manado	xmm	Latin
mal	Malayalam	ml	Latin
xdy	Malayic Dayak	xdy	Latin
div	Maldivian	dv	Latin
mdy	Male	mdy	Latin
mup	Malvi	mup	Latin
mam-dialect_central	Mam	mam	Latin
mam-dialect_northern	Mam	mam	Latin
mam-dialect_southern	Mam	mam	Latin
mam-dialect_western	Mam	mam	Latin
mqj	Mamasa	mqj	Latin
mcu	Mambila, Cameroon	mcu	Latin
mzk	Mambila, Nigeria	mzk	Latin
maw	Mampruli	maw	Latin
mjl	Mandeali	mjl	Latin
mnk	Mandinka	mnk	Latin
mge	Mango	mge	Latin
mbh	Mangseng	mbh	Latin
knf	Mankanya	knf	Latin
mjv	Mannan	mjv	Latin
mbt	Manobo, Matigsalug	mbt	Latin
obo	Manobo, Obo	obo	Latin
mbb	Manobo, Western Bukidnon	mbb	Latin
mzj	Manya	mzj	Latin
sjm	Mapun	sjm	Latin
mrw	Maranao	mrw	Latin
mar	Marathi	mr	Latin
mpg	Marba	mpg	Latin
mhr	Mari, Meadow	mhr	Latin
enb	Markweeta	enb	Latin
mah	Marshallese	mh	Latin
myx	Masaaba	myx	Latin
klv	Maskelynes	klv	Latin
mfh	Matal	mfh	Latin
met	Mato	met	Latin
mcb	Matsigenka	mcb	Latin
