Iso Code	Language Name	IETF Code	Script
ory	Odia	ory	Latin
ojb-script_latin	Ojibwa, Northwestern	ojb	Latin
ojb-script_syllabics	Ojibwa, Northwestern	ojb	Latin
oku	Oku	oku	Latin
bsc	Oniyan	bsc	Latin
bdu	Oroko	bdu	Latin
orm	Oromo	om	Latin
ury	Orya	ury	Latin
oss	Ossetic	os	Latin
ote	Otomi, Mezquital	ote	Latin
otq	Otomi, Querétaro	otq	Latin
stn	Owa	stn	Latin
sig	Paasaal	sig	Latin
kfx	Pahari, Kullu	kfx	Latin
bfz	Pahari, Mahasu	bfz	Latin
sey	Paicoca	sey	Latin
pao	Paiute, Northern	pao	Latin
pau	Palauan	pau	Latin
pce	Palaung, Ruching	pce	Latin
plw	Palawano, Brooke’s Point	plw	Latin
pmf	Pamona	pmf	Latin
pag	Pangasinan	pag	Latin
pap	Papiamentu	pap	Latin
prf	Paranan	prf	Latin
pab	Parecís	pab	Latin
pbi	Parkwa	pbi	Latin
pbc	Patamona	pbc	Latin
pad	Paumarí	pad	Latin
ata	Pele-Ata	ata	Latin
pez	Penan, Eastern	pez	Latin
peg	Pengo	peg	Latin
fas	Persian	fa	Latin
pcm	Pidgin, Nigerian	pcm	Latin
pis	Pijin	pis	Latin
pny	Pinyin	pny	Latin
pir	Piratapuyo	pir	Latin
pjt	Pitjantjatjara	pjt	Latin
poy	Pogolo	poy	Latin
pol	Polish	pl	Latin
pps	Popoloca, San Luís Temalacayuca	pps	Latin
pls	Popoloca, San Marcos Tlacoyalco	pls	Latin
poi	Popoluca, Highland	poi	Latin
poh-dialect_eastern	Poqomchi’	poh	Latin
poh-dialect_western	Poqomchi’	poh	Latin
por	Portuguese	pt	Latin
prt	Prai	prt	Latin
pui	Puinave	pui	Latin
pan	Punjabi, Eastern	pa	Latin
tsz	Purepecha	tsz	Latin
suv	Puroik	suv	Latin
lme	Pévé	lme	Latin
quy	Quechua, Ayacucho	quy	Latin
qvc	Quechua, Cajamarca	qvc	Latin
quz	Quechua, Cusco	quz	Latin
qve	Quechua, Eastern Apurímac	qve	Latin
qub	Quechua, Huallaga	qub	Latin
qvh	Quechua, Huamalíes-Dos de Mayo Huánuco	qvh	Latin
qwh	Quechua, Huaylas Ancash	qwh	Latin
qvw	Quechua, Huaylla Wanca	qvw	Latin
quf	Quechua, Lambayeque	quf	Latin
qvm	Quechua, Margos-Yarowilca-Lauricocha	qvm	Latin
qul	Quechua, North Bolivian	qul	Latin
qvn	Quechua, North Junín	qvn	Latin
qxn	Quechua, Northern Conchucos Ancash	qxn	Latin
qxh	Quechua, Panao	qxh	Latin
qvs	Quechua, San Martín	qvs	Latin
quh	Quechua, South Bolivian	quh	Latin
qxo	Quechua, Southern Conchucos	qxo	Latin
qxr	Quichua, Cañar Highland	qxr	Latin
qvo	Quichua, Napo	qvo	Latin
qvz	Quichua, Northern Pastaza	qvz	Latin
qxl	Quichua, Salasaca Highland	qxl	Latin
quw	Quichua, Tena Lowland	quw	Latin
kjb	Q’anjob’al	kjb	Latin
kek	Q’eqchi’	kek	Latin
rah	Rabha	rah	Latin
rjs	Rajbanshi	rjs	Latin
rai	Ramoaaina	rai	Latin
lje	Rampi	lje	Latin
rnl	Ranglong	rnl	Latin
rkt	Rangpuri	rkt	Latin
rap	Rapa Nui	rap	Latin
yea	Ravula	yea	Latin
raw	Rawang	raw	Latin
rej	Rejang	rej	Latin
rel	Rendille	rel	Latin
ril	Riang Lang	ril	Latin
iri	Rigwe	iri	Latin
rgu	Rikou	rgu	Latin
rhg	Rohingya	rhg	Latin
rmc-script_latin	Romani, Carpathian	rmc	Latin
rmc-script_cyrillic	Romani, Carpathian	rmc	Latin
rmo	Romani, Sinte	rmo	Latin
rmy-script_latin	Romani, Vlax	rmy	Latin
rmy-script_cyrillic	Romani, Vlax	rmy	Latin
ron	Romanian	ro	Latin
rol	Romblomanon	rol	Latin
cla	Ron	cla	Latin
rng	Ronga	rng	Latin
rug	Roviana	rug	Latin
run	Rundi	rn	Latin
rus	Russian	ru	Latin
lsm	Saamya-Gwe	lsm	Latin
spy	Sabaot	spy	Latin
sck	Sadri	sck	Latin
saj	Sahu	saj	Latin
sch	Sakachep	sch	Latin
sml	Sama, Central	sml	Latin
xsb	Sambal	xsb	Latin
sbl	Sambal, Botolan	sbl	Latin
saq	Samburu	saq	Latin
sbd	Samo, Southern	sbd	Latin
smo	Samoan	sm	Latin
rav	Sampang	rav	Latin
sxn	Sangir	sxn	Latin
sag	Sango	sg	Latin
sbp	Sangu	sbp	Latin
xsu	Sanumá	xsu	Latin
srm	Saramaccan	srm	Latin
sas	Sasak	sas	Latin
apb	Sa’a	apb	Latin
sgw	Sebat Bet Gurage	sgw	Latin
tvw	Sedoa	tvw	Latin
lip	Sekpele	lip	Latin
slu	Selaru	slu	Latin
snw	Selee	snw	Latin
sea	Semai	sea	Latin
sza	Semelai	sza	Latin
seh	Sena	seh	Latin
crs	Seychelles French Creole	crs	Latin
ksb	Shambala	ksb	Latin
shn	Shan	shn	Latin
sho	Shanga	sho	Latin
mcd	Sharanahua	mcd	Latin
cbt	Shawi	cbt	Latin
xsr	Sherpa	xsr	Latin
shk	Shilluk	shk	Latin
shp	Shipibo-Conibo	shp	Latin
sna	Shona	sn	Latin
cjs	Shor	cjs	Latin
jiv	Shuar	jiv	Latin
snp	Siane	snp	Latin
sya	Siang	sya	Latin
sid	Sidamo	sid	Latin
snn	Siona	snn	Latin
sri	Siriano	sri	Latin
srx	Sirmauri	srx	Latin
sil	Sisaala, Tumulung	sil	Latin
sld	Sissala	sld	Latin
akp	Siwu	akp	Latin
xog	Soga	xog	Latin
som	Somali	so	Latin
bmu	Somba-Siawari	bmu	Latin
khq	Songhay, Koyra Chiini	khq	Latin
ses	Songhay, Koyraboro Senni	ses	Latin
mnx	Sougb	mnx	Latin
spa	Spanish	es	Latin
srn	Sranan Tongo	srn	Latin
sxb	Suba	sxb	Latin
suc	Subanon, Western	suc	Latin
tgo	Sudest	tgo	Latin
suk	Sukuma	suk	Latin
sun	Sunda	su	Latin
suz	Sunwar	suz	Latin
sgj	Surgujia	sgj	Latin
sus	Susu	sus	Latin
swh	Swahili	swh	Latin
swe	Swedish	sv	Latin
syl	Sylheti	syl	Latin
dyi	Sénoufo, Djimini	dyi	Latin
myk	Sénoufo, Mamara	myk	Latin
spp	Sénoufo, Supyire	spp	Latin
tap	Taabwa	tap	Latin
tby	Tabaru	tby	Latin
tna	Tacana	tna	Latin
shi	Tachelhit	shi	Latin
klw	Tado	klw	Latin
tgl	Tagalog	fil	Latin
tbk	Tagbanwa, Calamian	tbk	Latin
tgj	Tagin	tgj	Latin
blt	Tai Dam	blt	Latin
tbg	Tairora, North	tbg	Latin
omw	Tairora, South	omw	Latin
tgk	Tajik	tg	Latin
tdj	Tajio	tdj	Latin
tbc	Takia	tbc	Latin
tlj	Talinga-Bwisi	tlj	Latin
tly	Talysh	tly	Latin
ttq-script_tifinagh	Tamajaq, Tawallammat	ttq	Latin
taj	Tamang, Eastern	taj	Latin
taq	Tamasheq	taq	Latin
tam	Tamil	ta	Latin
tpm	Tampulma	tpm	Latin
tgp	Tangoa	tgp	Latin
tnn	Tanna, North	tnn	Latin
tac	Tarahumara, Western	tac	Latin
rif-script_latin	Tarifit	rif	Latin
rif-script_arabic	Tarifit	rif	Latin
tat	Tatar	tt	Latin
tav	Tatuyo	tav	Latin
twb	Tawbuid	twb	Latin
tbl	Tboli	tbl	Latin
kps	Tehit	kps	Latin
twe	Teiwa	twe	Latin
ttc	Tektiteko	ttc	Latin
tel	Telugu	te	Latin
kdh	Tem	kdh	Latin
tes	Tengger	tes	Latin
tex	Tennet	tex	Latin
tee	Tepehua, Huehuetla	tee	Latin
tpp	Tepehua, Pisaflores	tpp	Latin
tpt	Tepehua, Tlachichilco	tpt	Latin
stp	Tepehuan, Southeastern	stp	Latin
tfr	Teribe	tfr	Latin
twu	Termanu	twu	Latin
ter	Terêna	ter	Latin
tew	Tewa	tew	Latin
tha	Thai	th	Latin
nod	Thai, Northern	nod	Latin
thl	Tharu, Dangaura	thl	Latin
tem	Themne	tem	Latin
adx	Tibetan, Amdo	adx	Latin
bod	Tibetan, Central	bo	Latin
khg	Tibetan, Khams	khg	Latin
tca	Ticuna	tca	Latin
tir	Tigrigna	ti	Latin
txq	Tii	txq	Latin
tik	Tikar	tik	Latin
dgr	Tlicho	dgr	Latin
tob	Toba	tob	Latin
tmf	Toba-Maskoy	tmf	Latin
tng	Tobanga	tng	Latin
tlb	Tobelo	tlb	Latin
ood	Tohono O’odham	ood	Latin
tpi	Tok Pisin	tpi	Latin
jic	Tol	jic	Latin
lbw	Tolaki	lbw	Latin
txa	Tombonuo	txa	Latin
tom	Tombulu	tom	Latin
toh	Tonga	toh	Latin
tnt	Tontemboan	tnt	Latin
sda	Toraja-Sa’dan	sda	Latin
tcs	Torres Strait Creole	tcs	Latin
toc	Totonac, Coyutla	toc	Latin
tos	Totonac, Highland	tos	Latin
neb	Toura	neb	Latin
trn	Trinitario	trn	Latin
trs	Triqui, Chicahuaxtla	trs	Latin
trc	Triqui, Copala	trc	Latin
tri	Trió	tri	Latin
cof	Tsafiki	cof	Latin
tkr	Tsakhur	tkr	Latin
kdl	Tsikimba	kdl	Latin
cas	Tsimané	cas	Latin
tso	Tsonga	ts	Latin
tuo	Tucano	tuo	Latin
iou	Tuma-Irumu	iou	Latin
tmc	Tumak	tmc	Latin
tuf	Tunebo, Central	tuf	Latin
tur	Turkish	tr	Latin
tuk-script_latin	Turkmen	tk	Latin
tuk-script_arabic	Turkmen	tk	Latin
bov	Tuwuli	bov	Latin
tue	Tuyuca	tue	Latin
kcg	Tyap	kcg	Latin
tzh-dialect_bachajón	Tzeltal	tzh	Latin
tzh-dialect_tenejapa	Tzeltal	tzh	Latin
tzo-dialect_chenalhó	Tzotzil	tzo	Latin
tzo-dialect_chamula	Tzotzil	tzo	Latin
tzj-dialect_western	Tz’utujil	tzj	Latin
tzj-dialect_eastern	Tz’utujil	tzj	Latin
aoz	Uab Meto	aoz	Latin
udm	Udmurt	udm	Latin
udu	Uduk	udu	Latin
ukr	Ukrainian	uk	Latin
ppk	Uma	ppk	Latin
ubu	Umbu-Ungu	ubu	Latin
urk	Urak Lawoi’	urk	Latin
ura	Urarina	ura	Latin
urt	Urat	urt	Latin
urd-script_devanagari	Urdu	ur	Latin
urd-script_arabic	Urdu	ur	Latin
urd-script_latin	Urdu	ur	Latin
upv	Uripiv-Wala-Rano-Atchin	upv	Latin
usp	Uspanteko	usp	Latin
uig-script_arabic	Uyghur	ug	Latin
uig-script_cyrillic	Uyghur	ug	Latin
uzb-script_cyrillic	Uzbek	uz	Latin
vag	Vagla	vag	Latin
bav	Vengo	bav	Latin
vid	Vidunda	vid	Latin
vie	Vietnamese	vi	Latin
vif	Vili	vif	Latin
vun	Vunjo	vun	Latin
vut	Vute	vut	Latin
prk	Wa, Parauk	prk	Latin
wwa	Waama	wwa	Latin
rro	Waima	rro	Latin
bao	Waimaha	bao	Latin
waw	Waiwai	waw	Latin
lgl	Wala	lgl	Latin
wlx	Wali	wlx	Latin
cou	Wamey	cou	Latin
hub	Wampís	hub	Latin
gvc	Wanano	gvc	Latin
mfi	Wandala	mfi	Latin
wap	Wapishana	wap	Latin
wba	Warao	wba	Latin
war	Waray-Waray	war	Latin
way	Wayana	way	Latin
guc	Wayuu	guc	Latin
cym	Welsh	cy	Latin
kvw	Wersing	kvw	Latin
tnp	Whitesands	tnp	Latin
hto	Witoto, Minika	hto	Latin
huu	Witoto, Murui	huu	Latin
wal-script_latin	Wolaytta	wal	Latin
wal-script_ethiopic	Wolaytta	wal	Latin
wlo	Wolio	wlo	Latin
noa	Woun Meu	noa	Latin
wob	Wè Northern	wob	Latin
kao	Xaasongaxango	kao	Latin
xer	Xerénte	xer	Latin
yad	Yagua	yad	Latin
yka	Yakan	yka	Latin
sah	Yakut	sah	Latin
yba	Yala	yba	Latin
yli	Yali, Angguruk	yli	Latin
nlk	Yali, Ninia	nlk	Latin
yal	Yalunka	yal	Latin
yam	Yamba	yam	Latin
yat	Yambeta	yat	Latin
jmd	Yamdena	jmd	Latin
tao	Yami	tao	Latin
yaa	Yaminahua	yaa	Latin
ame	Yanesha’	ame	Latin
guu	Yanomamö	guu	Latin
yao	Yao	yao	Latin
yre	Yaouré	yre	Latin
yva	Yawa	yva	Latin
ybb	Yemba	ybb	Latin
pib	Yine	pib	Latin
byr	Yipma	byr	Latin
pil	Yom	pil	Latin
yor	Yoruba	yo	Latin
ycn	Yucuna	ycn	Latin
ess	Yupik, Saint Lawrence Island	ess	Latin
yuz	Yuracare	yuz	Latin
atb	Zaiwa	atb	Latin
zne	Zande	zne	Latin
zaq	Zapotec, Aloápam	zaq	Latin
zpo	Zapotec, Amatlán	zpo	Latin
zad	Zapotec, Cajonos	zad	Latin
zpc	Zapotec, Choapan	zpc	Latin
zca	Zapotec, Coatecas Altas	zca	Latin
zpg	Zapotec, Guevea de Humboldt	zpg	Latin
zai	Zapotec, Isthmus	zai	Latin
zpl	Zapotec, Lachixío	zpl	Latin
zam	Zapotec, Miahuatlán	zam	Latin
zaw	Zapotec, Mitla	zaw	Latin
zpm	Zapotec, Mixtepec	zpm	Latin
zac	Zapotec, Ocotlán	zac	Latin
zao	Zapotec, Ozolotepec	zao	Latin
ztq	Zapotec, Quioquitani-Quierí	ztq	Latin
zar	Zapotec, Rincón	zar	Latin
zpt	Zapotec, San Vicente Coatlán	zpt	Latin
zpi	Zapotec, Santa María Quiegolani	zpi	Latin
zas	Zapotec, Santo Domingo Albarradas	zas	Latin
zaa	Zapotec, Sierra de Juárez	zaa	Latin
zpz	Zapotec, Texmelucan	zpz	Latin
zab	Zapotec, Western Tlacolula Valley	zab	Latin
zpu	Zapotec, Yalálag	zpu	Latin
zae	Zapotec, Yareni	zae	Latin
zty	Zapotec, Yatee	zty	Latin
zav	Zapotec, Yatzachi	zav	Latin
zza	Zaza	zza	Latin
zyb	Zhuang, Yongbei	zyb	Latin
ziw	Zigula	ziw	Latin
zos	Zoque, Francisco León	zos	Latin
gnd	Zulgo-Gemzek	gnd	Latin
ewe	Éwé	ee	Latin
